classifier,dataset,n_train,n_test,ts_length,n_classes,ensemble_size,max_window,n_features,fit_time_s,predict_time_s,predict_time_per_sample_ms,peak_fit_mem_mb,accuracy,balanced_accuracy,train_cv_accuracy
WEASEL2_AdaptiveEnsemble,FordA,3601,1320,500,2,25,84,12754,18.9832,2.7964,2.1185,1402.27,0.959091,0.959242,-0.222213
WEASEL2_AdaptiveEnsemble,FordB,3636,810,500,2,25,84,12791,19.2909,1.7799,2.1974,1420.0,0.838272,0.838122,-0.203707
WEASEL2_AdaptiveEnsemble,FreezerRegularTrain,150,2850,301,2,25,24,9935,0.6489,4.0282,1.4134,45.96,0.992281,0.992281,-0.061813
WEASEL2_AdaptiveEnsemble,FreezerSmallTrain,28,2850,301,2,25,24,9493,0.2956,4.0625,1.4254,8.58,0.950526,0.950526,-0.142631
WEASEL2_AdaptiveEnsemble,GunPoint,50,150,150,2,25,24,8479,0.3052,0.1256,0.8371,13.34,1.0,1.0,-0.074953
WEASEL2_AdaptiveEnsemble,GunPointAgeSpan,135,316,150,2,25,24,8166,0.4818,0.2498,0.7904,34.05,1.0,1.0,-0.07109
WEASEL2_AdaptiveEnsemble,GunPointMaleVersusFemale,135,316,150,2,25,24,8116,0.4781,0.2754,0.8714,33.84,0.996835,0.996988,-0.034344
WEASEL2_AdaptiveEnsemble,GunPointOldVersusYoung,136,315,150,2,25,24,8220,0.4799,0.243,0.7715,34.52,0.990476,0.99,-0.056781
WEASEL2_AdaptiveEnsemble,Ham,109,105,431,2,25,24,9544,0.6276,0.2246,2.1391,32.27,0.761905,0.761438,-0.334223
WEASEL2_AdaptiveEnsemble,HandOutlines,1000,370,2709,2,75,84,33368,60.9571,15.2765,41.2877,1024.02,0.945946,0.93306,-0.24319
WEASEL2_AdaptiveEnsemble,Haptics,155,308,1092,5,75,24,29569,4.6242,5.1931,16.8609,142.04,0.493506,0.491723,-0.530654
WEASEL2_AdaptiveEnsemble,Herring,64,64,512,2,25,24,8916,0.4848,0.1691,2.6422,17.97,0.671875,0.6083,-0.925581
WEASEL2_AdaptiveEnsemble,HouseTwenty,40,119,2000,2,75,24,28990,2.6934,3.2679,27.4612,38.58,0.957983,0.95,-0.1492
WEASEL2_AdaptiveEnsemble,InlineSkate,100,550,1882,7,75,24,29680,5.1975,14.8875,27.0681,99.99,0.454545,0.458783,-0.448027
WEASEL2_AdaptiveEnsemble,InsectEPGRegularTrain,62,249,601,3,50,24,21075,1.096,1.4971,6.0123,40.99,1.0,1.0,-0.015226
WEASEL2_AdaptiveEnsemble,InsectEPGSmallTrain,17,249,601,3,50,24,20877,0.6623,1.4762,5.9286,11.93,0.983936,0.985019,-0.079164
