classifier,dataset,fit_time_s_baseline,fit_time_s_new,fit_time_s_delta,predict_time_s_baseline,predict_time_s_new,predict_time_s_delta,predict_time_per_sample_ms_baseline,predict_time_per_sample_ms_new,predict_time_per_sample_ms_delta,peak_fit_mem_mb_baseline,peak_fit_mem_mb_new,peak_fit_mem_mb_delta,accuracy_baseline,accuracy_new,accuracy_delta,balanced_accuracy_baseline,balanced_accuracy_new,balanced_accuracy_delta,train_cv_accuracy_baseline,train_cv_accuracy_new,train_cv_accuracy_delta,dataset_type,train_size_bin,series_len_bin,n_classes_bin
WEASEL2_r100,SonyAIBORobotSurface1,0.3655,0.719,0.3535,0.452,0.7889,0.3369,0.7522,1.3126,0.5604,11.39,21.63,10.24,0.941764,0.9401,-0.001664,0.948499,0.947042,-0.001457,-0.301207,-0.308061,-0.006854,SENSOR,small (n<100),short (<200),binary (2)
WEASEL2_r100,SwedishLeaf,5.2182,4.216,-1.0022,1.9682,1.3064,-0.6618,3.1492,2.0903,-1.0589,872.21,723.55,-148.66,0.976,0.976,0.0,0.976919,0.976701,-0.000218,-0.043859,-0.044346,-0.000487,IMAGE,medium (100-500),short (<200),many (10+)
WEASEL2_r100,UWaveGestureLibraryX,12.1563,10.4065,-1.7498,27.3412,20.8056,-6.5356,7.6329,5.8084,-1.8245,1469.18,1201.01,-268.17,0.843384,0.843384,0.0,0.841632,0.841717,8.5e-05,-0.156302,-0.161483,-0.005181,MOTION,large (n>500),medium (200-800),mid (3-9)
WEASEL2_r125,ACSF1,2.1735,5.9209,3.7474,1.2225,3.0937,1.8712,12.2254,30.9373,18.7119,90.57,130.64,40.07,0.93,0.96,0.03,0.93,0.96,0.03,-0.185615,-0.183799,0.001816,DEVICE,small (n<100),long (>800),many (10+)
WEASEL2_r125,Adiac,4.4664,4.8197,0.3533,1.8395,1.5721,-0.2674,4.7045,4.0206,-0.6839,558.83,494.06,-64.77,0.84399,0.836317,-0.007673,0.853155,0.846347,-0.006808,-0.045617,-0.045962,-0.000345,IMAGE,medium (100-500),medium (200-800),many (10+)
WEASEL2_r125,ArrowHead,0.4151,1.3298,0.9147,0.3597,0.9781,0.6184,2.0553,5.5892,3.5339,21.63,49.27,27.64,0.857143,0.857143,0.0,0.864643,0.864643,0.0,-0.315629,-0.307672,0.007957,IMAGE,small (n<100),short (<200),mid (3-9)
WEASEL2_r125,Coffee,0.7606,1.2189,0.4583,0.1059,0.1965,0.0906,3.7823,7.0172,3.2349,14.86,33.47,18.61,1.0,1.0,0.0,1.0,1.0,0.0,-0.114697,-0.113933,0.000764,SPECTRO,small (n<100),medium (200-800),binary (2)
WEASEL2_r125,Crop,76.6869,91.2541,14.5672,18.2702,26.3903,8.1201,1.0875,1.5708,0.4833,9836.25,11660.75,1824.5,0.760655,0.761786,0.001131,0.760655,0.761786,0.001131,-0.067833,-0.067462,0.000371,IMAGE,large (n>500),short (<200),many (10+)
WEASEL2_r125,DistalPhalanxOutlineCorrect,3.8549,5.6794,1.8245,0.5825,0.6446,0.0621,2.1103,2.3354,0.2251,703.61,868.71,165.1,0.775362,0.768116,-0.007246,0.75528,0.747826,-0.007454,-0.403738,-0.400258,0.00348,IMAGE,large (n>500),short (<200),binary (2)
WEASEL2_r125,EOGHorizontalSignal,16.2202,17.7245,1.5043,11.2615,11.042,-0.2195,31.109,30.5027,-0.6063,631.6,618.02,-13.58,0.61326,0.629834,0.016574,0.613666,0.630429,0.016763,-0.109162,-0.112265,-0.003103,EOG,medium (100-500),long (>800),many (10+)
