classifier,dataset,fit_time_s_baseline,fit_time_s_new,fit_time_s_delta,predict_time_s_baseline,predict_time_s_new,predict_time_s_delta,predict_time_per_sample_ms_baseline,predict_time_per_sample_ms_new,predict_time_per_sample_ms_delta,peak_fit_mem_mb_baseline,peak_fit_mem_mb_new,peak_fit_mem_mb_delta,accuracy_baseline,accuracy_new,accuracy_delta,balanced_accuracy_baseline,balanced_accuracy_new,balanced_accuracy_delta,train_cv_accuracy_baseline,train_cv_accuracy_new,train_cv_accuracy_delta,dataset_type,train_size_bin,series_len_bin,n_classes_bin
WEASEL2_r50,ElectricDevices,127.9803,100.7615,-27.2188,14.0645,7.7501,-6.3144,1.824,1.0051,-0.8189,11924.99,5812.58,-6112.41,0.772014,0.765789,-0.006225,0.670491,0.661396,-0.009095,-0.113122,-0.119584,-0.006462,DEVICE,large (n>500),short (<200),mid (3-9)
WEASEL2_r50,FiftyWords,7.0616,2.5683,-4.4933,2.9465,0.951,-1.9955,6.4757,2.0902,-4.3855,736.45,281.21,-455.24,0.832967,0.837363,0.004396,0.729409,0.741123,0.011714,-0.036047,-0.036961,-0.000914,IMAGE,medium (100-500),medium (200-800),many (10+)
WEASEL2_r50,Fish,1.4339,1.6762,0.2423,0.8229,0.6662,-0.1567,4.7023,3.807,-0.8953,99.75,99.78,0.03,0.988571,0.988571,0.0,0.988946,0.988946,0.0,-0.091011,-0.090762,0.000249,IMAGE,medium (100-500),medium (200-800),mid (3-9)
WEASEL2_r50,FordA,82.469,32.7731,-49.6959,14.6704,6.167,-8.5034,11.114,4.672,-6.442,6327.14,2651.14,-3676.0,0.960606,0.962121,0.001515,0.960711,0.962228,0.001517,-0.216579,-0.218439,-0.00186,SENSOR,large (n>500),medium (200-800),binary (2)
WEASEL2_r50,GunPoint,0.4573,0.5249,0.0676,0.2334,0.2236,-0.0098,1.5563,1.4905,-0.0658,27.89,27.93,0.04,1.0,1.0,0.0,1.0,1.0,0.0,-0.077205,-0.077238,-3.3e-05,MOTION,small (n<100),short (<200),binary (2)
WEASEL2_r50,Haptics,2.248,2.7144,0.4664,2.6205,3.022,0.4015,8.508,9.8118,1.3038,101.61,101.65,0.04,0.49026,0.49026,0.0,0.490125,0.490125,0.0,-0.529634,-0.529663,-2.9e-05,MOTION,medium (100-500),long (>800),mid (3-9)
WEASEL2_r50,HouseTwenty,1.3029,1.5777,0.2748,1.8397,2.0618,0.2221,15.4599,17.326,1.8661,34.83,34.22,-0.61,0.966387,0.966387,0.0,0.96,0.96,0.0,-0.147795,-0.147869,-7.4e-05,DEVICE,small (n<100),long (>800),binary (2)
WEASEL2_r50,InlineSkate,2.5138,2.9201,0.4063,8.0122,8.8046,0.7924,14.5677,16.0083,1.4406,84.85,96.79,11.94,0.443636,0.443636,0.0,0.449845,0.449845,0.0,-0.444079,-0.444004,7.5e-05,MOTION,small (n<100),long (>800),mid (3-9)
WEASEL2_r50,ItalyPowerDemand,0.4147,0.4596,0.0449,0.472,0.3101,-0.1619,0.4587,0.3014,-0.1573,30.35,30.46,0.11,0.959184,0.959184,0.0,0.959144,0.959144,0.0,-0.190887,-0.193601,-0.002714,SENSOR,small (n<100),short (<200),binary (2)
WEASEL2_r50,MiddlePhalanxTW,2.5705,1.6548,-0.9157,0.4927,0.1503,-0.3424,3.1995,0.976,-2.2235,355.5,182.58,-172.92,0.551948,0.577922,0.025974,0.38469,0.401733,0.017043,-0.306022,-0.305886,0.000136,IMAGE,medium (100-500),short (<200),mid (3-9)
WEASEL2_r50,Phoneme,3.0284,3.2985,0.2701,16.1767,16.6081,0.4314,8.532,8.7595,0.2275,127.38,127.42,0.04,0.347574,0.348101,0.000527,0.18485,0.184947,9.7e-05,-0.095373,-0.095376,-3e-06,SOUND,medium (100-500),long (>800),many (10+)
WEASEL2_r50,Rock,1.0783,1.4023,0.324,1.0809,1.1813,0.1004,21.6183,23.627,2.0087,25.12,23.41,-1.71,0.9,0.9,0.0,0.922619,0.922619,0.0,-0.363254,-0.363261,-7e-06,SPECTRO,small (n<100),long (>800),mid (3-9)
WEASEL2_r50,SonyAIBORobotSurface1,0.3655,0.3621,-0.0034,0.452,0.4121,-0.0399,0.7522,0.6857,-0.0665,11.39,11.44,0.05,0.941764,0.943428,0.001664,0.948499,0.949957,0.001458,-0.301207,-0.301423,-0.000216,SENSOR,small (n<100),short (<200),binary (2)
WEASEL2_r50,SwedishLeaf,5.2182,2.0854,-3.1328,1.9682,0.6505,-1.3177,3.1492,1.0409,-2.1083,872.21,353.46,-518.75,0.976,0.9712,-0.0048,0.976919,0.971783,-0.005136,-0.043859,-0.047761,-0.003902,IMAGE,medium (100-500),short (<200),many (10+)
WEASEL2_r50,UWaveGestureLibraryX,12.1563,5.2376,-6.9187,27.3412,10.3161,-17.0251,7.6329,2.88,-4.7529,1469.18,578.98,-890.2,0.843384,0.835567,-0.007817,0.841632,0.833865,-0.007767,-0.156302,-0.166071,-0.009769,MOTION,large (n>500),medium (200-800),mid (3-9)
WEASEL2_r75,ACSF1,2.1735,3.529,1.3555,1.2225,1.8523,0.6298,12.2254,18.523,6.2976,90.57,79.13,-11.44,0.93,0.94,0.01,0.93,0.94,0.01,-0.185615,-0.176827,0.008788,DEVICE,small (n<100),long (>800),many (10+)
WEASEL2_r75,Adiac,4.4664,2.8997,-1.5667,1.8395,0.9428,-0.8967,4.7045,2.4112,-2.2933,558.83,308.86,-249.97,0.84399,0.841432,-0.002558,0.853155,0.852275,-0.00088,-0.045617,-0.046973,-0.001356,IMAGE,medium (100-500),medium (200-800),many (10+)
WEASEL2_r75,ArrowHead,0.4151,0.7921,0.377,0.3597,0.5893,0.2296,2.0553,3.3677,1.3124,21.63,30.19,8.56,0.857143,0.868571,0.011428,0.864643,0.874305,0.009662,-0.315629,-0.330841,-0.015212,IMAGE,small (n<100),short (<200),mid (3-9)
WEASEL2_r75,Coffee,0.7606,0.7381,-0.0225,0.1059,0.1166,0.0107,3.7823,4.1636,0.3813,14.86,20.77,5.91,1.0,1.0,0.0,1.0,1.0,0.0,-0.114697,-0.117994,-0.003297,SPECTRO,small (n<100),medium (200-800),binary (2)
WEASEL2_r75,Crop,76.6869,68.876,-7.8109,18.2702,15.7176,-2.5526,1.0875,0.9356,-0.1519,9836.25,7150.72,-2685.53,0.760655,0.757619,-0.003036,0.760655,0.757619,-0.003036,-0.067833,-0.068659,-0.000826,IMAGE,large (n>500),short (<200),many (10+)
WEASEL2_r75,DistalPhalanxOutlineCorrect,3.8549,3.5563,-0.2986,0.5825,0.3966,-0.1859,2.1103,1.4371,-0.6732,703.61,516.92,-186.69,0.775362,0.778986,0.003624,0.75528,0.762112,0.006832,-0.403738,-0.404318,-0.00058,IMAGE,large (n>500),short (<200),binary (2)
WEASEL2_r75,EOGHorizontalSignal,16.2202,10.1315,-6.0887,11.2615,7.1883,-4.0732,31.109,19.857,-11.252,631.6,394.35,-237.25,0.61326,0.604972,-0.008288,0.613666,0.605877,-0.007789,-0.109162,-0.115999,-0.006837,EOG,medium (100-500),long (>800),many (10+)
WEASEL2_r75,ElectricDevices,127.9803,116.737,-11.2433,14.0645,11.156,-2.9085,1.824,1.4468,-0.3772,11924.99,8616.7,-3308.29,0.772014,0.76955,-0.002464,0.670491,0.667755,-0.002736,-0.113122,-0.116,-0.002878,DEVICE,large (n>500),short (<200),mid (3-9)
WEASEL2_r75,FiftyWords,7.0616,3.8482,-3.2134,2.9465,1.4846,-1.4619,6.4757,3.2628,-3.2129,736.45,432.92,-303.53,0.832967,0.832967,0.0,0.729409,0.7349,0.005491,-0.036047,-0.036757,-0.00071,IMAGE,medium (100-500),medium (200-800),many (10+)
WEASEL2_r75,Fish,1.4339,2.4902,1.0563,0.8229,0.9962,0.1733,4.7023,5.6924,0.9901,99.75,139.45,39.7,0.988571,0.982857,-0.005714,0.988946,0.982993,-0.005953,-0.091011,-0.088212,0.002799,IMAGE,medium (100-500),medium (200-800),mid (3-9)
WEASEL2_r75,FordA,82.469,48.5995,-33.8695,14.6704,8.5866,-6.0838,11.114,6.505,-4.609,6327.14,4016.07,-2311.07,0.960606,0.960606,0.0,0.960711,0.960663,-4.8e-05,-0.216579,-0.219459,-0.00288,SENSOR,large (n>500),medium (200-800),binary (2)
WEASEL2_r75,GunPoint,0.4573,0.7715,0.3142,0.2334,0.3157,0.0823,1.5563,2.1043,0.548,27.89,39.08,11.19,1.0,1.0,0.0,1.0,1.0,0.0,-0.077205,-0.078627,-0.001422,MOTION,small (n<100),short (<200),binary (2)
WEASEL2_r75,Haptics,2.248,4.1452,1.8972,2.6205,4.3473,1.7268,8.508,14.1145,5.6065,101.61,142.04,40.43,0.49026,0.493506,0.003246,0.490125,0.491723,0.001598,-0.529634,-0.530654,-0.00102,MOTION,medium (100-500),long (>800),mid (3-9)
WEASEL2_r75,HouseTwenty,1.3029,2.2797,0.9768,1.8397,3.0349,1.1952,15.4599,25.5035,10.0436,34.83,44.22,9.39,0.966387,0.957983,-0.008404,0.96,0.95,-0.01,-0.147795,-0.1492,-0.001405,DEVICE,small (n<100),long (>800),binary (2)
WEASEL2_r75,InlineSkate,2.5138,4.376,1.8622,8.0122,12.9213,4.9091,14.5677,23.4933,8.9256,84.85,93.69,8.84,0.443636,0.454545,0.010909,0.449845,0.458783,0.008938,-0.444079,-0.448027,-0.003948,MOTION,small (n<100),long (>800),mid (3-9)
WEASEL2_r75,ItalyPowerDemand,0.4147,0.7472,0.3325,0.472,0.4978,0.0258,0.4587,0.4838,0.0251,30.35,42.77,12.42,0.959184,0.959184,0.0,0.959144,0.959144,0.0,-0.190887,-0.194124,-0.003237,SENSOR,small (n<100),short (<200),binary (2)
WEASEL2_r75,MiddlePhalanxTW,2.5705,2.6352,0.0647,0.4927,0.2192,-0.2735,3.1995,1.4237,-1.7758,355.5,262.89,-92.61,0.551948,0.558442,0.006494,0.38469,0.388478,0.003788,-0.306022,-0.305207,0.000815,IMAGE,medium (100-500),short (<200),mid (3-9)
WEASEL2_r75,Phoneme,3.0284,4.9408,1.9124,16.1767,25.5988,9.4221,8.532,13.5015,4.9695,127.38,177.46,50.08,0.347574,0.353376,0.005802,0.18485,0.190194,0.005344,-0.095373,-0.0967,-0.001327,SOUND,medium (100-500),long (>800),many (10+)
WEASEL2_r75,Rock,1.0783,2.0772,0.9989,1.0809,1.7727,0.6918,21.6183,35.4545,13.8362,25.12,27.45,2.33,0.9,0.88,-0.02,0.922619,0.904762,-0.017857,-0.363254,-0.36711,-0.003856,SPECTRO,small (n<100),long (>800),mid (3-9)
WEASEL2_r75,SonyAIBORobotSurface1,0.3655,0.5444,0.1789,0.452,0.6137,0.1617,0.7522,1.0211,0.2689,11.39,16.07,4.68,0.941764,0.930116,-0.011648,0.948499,0.938295,-0.010204,-0.301207,-0.298896,0.002311,SENSOR,small (n<100),short (<200),binary (2)
WEASEL2_r75,SwedishLeaf,5.2182,3.1034,-2.1148,1.9682,0.9784,-0.9898,3.1492,1.5654,-1.5838,872.21,537.15,-335.06,0.976,0.976,0.0,0.976919,0.976839,-8e-05,-0.043859,-0.045596,-0.001737,IMAGE,medium (100-500),short (<200),many (10+)
WEASEL2_r75,UWaveGestureLibraryX,12.1563,7.8583,-4.298,27.3412,16.1457,-11.1955,7.6329,4.5074,-3.1255,1469.18,882.76,-586.42,0.843384,0.845338,0.001954,0.841632,0.843718,0.002086,-0.156302,-0.161944,-0.005642,MOTION,large (n>500),medium (200-800),mid (3-9)
