classifier,dataset,n_train,n_test,ts_length,n_classes,n_features,fit_time_s,predict_time_s,predict_time_per_sample_ms,peak_fit_mem_mb,accuracy,balanced_accuracy,train_cv_accuracy
WEASEL2_r25,MiddlePhalanxTW,399,154,80,6,7893,0.8049,0.0643,0.4178,96.53,0.564935,0.393577,-0.305725
WEASEL2_r25,MixedShapesRegularTrain,500,2425,1024,5,11882,3.4557,12.338,5.0879,182.9,0.964948,0.963535,-0.072269
WEASEL2_r25,MixedShapesSmallTrain,100,2425,1024,5,9432,0.9019,11.6516,4.8048,37.09,0.955876,0.955031,-0.107021
WEASEL2_r25,MoteStrain,20,1252,84,2,8519,0.2188,0.5616,0.4485,5.58,0.958466,0.957581,-0.321538
WEASEL2_r25,NonInvasiveFetalECGThorax1,1800,1965,750,42,12300,10.2862,7.1633,3.6455,677.5,0.909924,0.908486,-0.036503
WEASEL2_r25,NonInvasiveFetalECGThorax2,1800,1965,750,42,12404,10.0911,7.0722,3.5991,683.22,0.939949,0.938162,-0.029001
WEASEL2_r25,OSULeaf,200,242,427,6,9991,0.9123,0.4264,1.7618,61.53,0.966942,0.949275,-0.110488
WEASEL2_r25,OliveOil,30,30,570,4,6257,0.3643,0.0881,2.9379,7.35,0.933333,0.916667,-0.254476
WEASEL2_r25,PhalangesOutlinesCorrect,1800,858,80,2,10385,3.2913,0.3357,0.3912,570.92,0.824009,0.795919,-0.452397
WEASEL2_r25,Phoneme,214,1896,1024,39,9165,1.6546,9.1147,4.8073,100.64,0.34019,0.180784,-0.094109
WEASEL2_r25,PigAirwayPressure,104,208,2000,52,10172,1.6373,1.8247,8.7727,91.13,0.822115,0.822115,-0.066625
WEASEL2_r25,PigArtPressure,104,208,2000,52,9782,1.5158,1.7568,8.4461,91.74,0.985577,0.985577,-0.03516
WEASEL2_r25,PigCVP,104,208,2000,52,10405,1.4878,1.7503,8.4148,114.62,0.961538,0.961538,-0.048314
WEASEL2_r25,Plane,105,105,144,7,9028,0.3827,0.0836,0.7959,29.35,1.0,1.0,-0.009408
WEASEL2_r25,PowerCons,180,180,144,2,9907,0.5387,0.1267,0.7041,54.84,0.933333,0.933333,-0.269498
WEASEL2_r25,ProximalPhalanxOutlineAgeGroup,400,205,80,3,6888,0.8009,0.0969,0.4725,84.47,0.863415,0.802201,-0.300505
WEASEL2_r25,ProximalPhalanxOutlineCorrect,600,291,80,2,7587,1.0997,0.1292,0.4441,139.31,0.886598,0.838185,-0.363572
WEASEL2_r25,ProximalPhalanxTW,400,205,80,6,6841,0.7954,0.0992,0.4837,83.92,0.809756,0.49005,-0.168642
WEASEL2_r25,RefrigerationDevices,375,375,720,3,11939,2.1529,1.2982,3.4617,212.79,0.546667,0.546667,-0.384146
WEASEL2_r25,Rock,20,50,2844,4,9395,0.7212,0.6152,12.3046,21.88,0.92,0.934524,-0.36486
WEASEL2_r25,ScreenType,375,375,720,3,11793,2.6582,2.2259,5.9358,217.01,0.48,0.48,-0.682185
WEASEL2_r25,SemgHandGenderCh2,300,600,1500,2,12800,4.3022,5.3641,8.9402,383.29,0.923333,0.920147,-0.298109
WEASEL2_r25,SemgHandMovementCh2,450,450,1500,6,12800,5.1062,3.8931,8.6514,565.17,0.595556,0.595556,-0.390261
WEASEL2_r25,SemgHandSubjectCh2,450,450,1500,5,12800,5.5029,4.5389,10.0865,598.31,0.864444,0.864444,-0.201058
WEASEL2_r25,ShapeletSim,20,180,500,2,10075,0.3191,0.4472,2.4845,6.7,1.0,1.0,-0.563065
WEASEL2_r25,ShapesAll,600,600,512,60,12018,2.5878,1.3733,2.2889,221.2,0.931667,0.931667,-0.020463
WEASEL2_r25,SmallKitchenAppliances,375,375,720,3,11773,2.4761,1.5841,4.2243,219.34,0.816,0.816,-0.382184
WEASEL2_r25,SmoothSubspace,150,150,15,3,6485,0.362,0.0279,0.1857,30.03,0.966667,0.966667,-0.149328
WEASEL2_r25,SonyAIBORobotSurface1,20,601,70,2,8500,0.2011,0.2371,0.3944,5.56,0.948419,0.95433,-0.299297
WEASEL2_r25,SonyAIBORobotSurface2,27,953,65,2,9257,0.2128,0.3345,0.351,8.0,0.944386,0.947659,-0.297008
WEASEL2_r25,StarLightCurves,1000,8236,1024,3,11562,7.0459,48.9124,5.9389,391.54,0.981302,0.961639,-0.070593
