classifier,dataset,n_train,n_test,ts_length,n_classes,n_features,fit_time_s,predict_time_s,predict_time_per_sample_ms,peak_fit_mem_mb,accuracy,balanced_accuracy,train_cv_accuracy
WEASEL2_baseline,InlineSkate,100,550,1882,7,21267,2.5138,8.0122,14.5677,84.85,0.443636,0.449845,-0.444079
WEASEL2_baseline,InsectEPGRegularTrain,62,249,601,3,21075,0.8471,1.1264,4.5238,40.94,1.0,1.0,-0.015226
WEASEL2_baseline,InsectEPGSmallTrain,17,249,601,3,20877,0.494,1.2805,5.1427,11.89,0.983936,0.985019,-0.078519
WEASEL2_baseline,InsectWingbeatSound,220,1980,256,11,19255,1.3368,4.1051,2.0733,130.1,0.637879,0.637879,-0.217569
WEASEL2_baseline,ItalyPowerDemand,67,1029,24,2,14566,0.4147,0.472,0.4587,30.35,0.959184,0.959144,-0.190887
WEASEL2_baseline,LargeKitchenAppliances,375,375,720,3,56127,12.4426,7.8495,20.9321,645.58,0.810667,0.810667,-0.292627
WEASEL2_baseline,Lightning2,60,61,637,2,19352,0.8106,0.3497,5.7324,36.51,0.721311,0.709957,-0.712214
WEASEL2_baseline,Lightning7,70,73,319,7,19276,0.9977,0.3469,4.752,42.02,0.794521,0.811195,-0.269334
WEASEL2_baseline,Mallat,55,2345,1024,8,18549,1.0173,20.4378,8.7155,32.51,0.938166,0.938817,-0.101117
WEASEL2_baseline,Meat,60,60,448,3,14555,0.7099,0.2494,4.1575,27.55,0.916667,0.916667,-0.076766
WEASEL2_baseline,MedicalImages,381,760,99,10,42019,2.6671,1.4751,1.9409,489.9,0.780263,0.694331,-0.154132
WEASEL2_baseline,MiddlePhalanxOutlineAgeGroup,400,154,80,3,28875,2.7155,0.4187,2.7189,353.64,0.61039,0.475144,-0.363397
WEASEL2_baseline,MiddlePhalanxOutlineCorrect,600,291,80,2,31714,3.6528,0.6165,2.1185,581.88,0.831615,0.822771,-0.43661
WEASEL2_baseline,MiddlePhalanxTW,399,154,80,6,29098,2.5705,0.4927,3.1995,355.5,0.551948,0.38469,-0.306022
WEASEL2_baseline,MixedShapesRegularTrain,500,2425,1024,5,56071,18.0446,64.6516,26.6605,859.55,0.974845,0.973852,-0.062227
WEASEL2_baseline,MixedShapesSmallTrain,100,2425,1024,5,19512,1.626,21.0231,8.6693,60.93,0.961649,0.960381,-0.106769
WEASEL2_baseline,MoteStrain,20,1252,84,2,17751,0.3454,1.009,0.8059,11.47,0.960064,0.959566,-0.320705
WEASEL2_baseline,NonInvasiveFetalECGThorax1,1800,1965,750,42,57342,50.0549,35.4005,18.0155,3154.38,0.927226,0.925766,-0.029205
WEASEL2_baseline,NonInvasiveFetalECGThorax2,1800,1965,750,42,57347,49.1074,35.6653,18.1503,3154.66,0.954707,0.952463,-0.02217
WEASEL2_baseline,OSULeaf,200,242,427,6,20586,1.5664,0.9637,3.9823,126.6,0.966942,0.952899,-0.103544
WEASEL2_baseline,OliveOil,30,30,570,4,13424,0.5773,0.1793,5.9767,13.27,0.966667,0.979167,-0.266402
WEASEL2_baseline,PhalangesOutlinesCorrect,1800,858,80,2,38683,10.8649,1.4237,1.6593,2126.19,0.831002,0.8044,-0.427157
WEASEL2_baseline,Phoneme,214,1896,1024,39,19274,3.0284,16.1767,8.532,127.38,0.347574,0.18485,-0.095373
WEASEL2_baseline,PickupGestureWiimoteZ,50,50,361,10,21225,0.6665,0.1554,3.1075,33.35,0.9,0.9,-0.206826
WEASEL2_baseline,PigAirwayPressure,104,208,2000,52,21059,2.8282,3.5672,17.1502,92.2,0.9375,0.9375,-0.065054
WEASEL2_baseline,PigArtPressure,104,208,2000,52,20482,2.6851,3.2067,15.4169,101.12,0.985577,0.985577,-0.03186
WEASEL2_baseline,PigCVP,104,208,2000,52,21324,3.2298,3.1761,15.2697,102.76,0.966346,0.966346,-0.044822
WEASEL2_baseline,Plane,105,105,144,7,18802,0.7409,0.2998,2.855,60.95,1.0,1.0,-0.008858
WEASEL2_baseline,PowerCons,180,180,144,2,20356,0.9887,0.4124,2.2909,112.53,0.927778,0.927778,-0.279562
WEASEL2_baseline,ProximalPhalanxOutlineAgeGroup,400,205,80,3,25621,2.6673,0.507,2.4733,313.89,0.858537,0.798414,-0.299196
WEASEL2_baseline,ProximalPhalanxOutlineCorrect,600,291,80,2,28413,4.0168,0.6531,2.2442,521.41,0.90378,0.865359,-0.36707
WEASEL2_baseline,ProximalPhalanxTW,400,205,80,6,25475,2.7473,0.5094,2.4848,312.13,0.809756,0.485288,-0.164638
WEASEL2_baseline,RefrigerationDevices,375,375,720,3,55489,11.4979,7.0381,18.7684,638.28,0.554667,0.554667,-0.337238
WEASEL2_baseline,Rock,20,50,2844,4,19712,1.0783,1.0809,21.6183,25.12,0.9,0.922619,-0.363254
WEASEL2_baseline,ScreenType,375,375,720,3,56255,11.9217,7.9262,21.1365,647.04,0.453333,0.453333,-0.643247
WEASEL2_baseline,SemgHandGenderCh2,300,600,1500,2,57568,18.0292,26.6994,44.499,532.1,0.938333,0.933883,-0.260212
WEASEL2_baseline,SemgHandMovementCh2,450,450,1500,6,57568,26.8339,19.9393,44.3096,796.38,0.633333,0.633333,-0.323644
WEASEL2_baseline,SemgHandSubjectCh2,450,450,1500,5,57568,26.9964,20.4618,45.4708,795.65,0.895556,0.895556,-0.175348
WEASEL2_baseline,ShakeGestureWiimoteZ,50,50,385,10,21094,17.0695,0.8138,16.2758,64.54,0.96,0.96,-0.17104
WEASEL2_baseline,ShapeletSim,20,180,500,2,20444,0.4783,0.8064,4.4801,13.46,1.0,1.0,-0.521267
WEASEL2_baseline,ShapesAll,600,600,512,60,56571,13.0355,7.1095,11.8492,1039.17,0.936667,0.936667,-0.017718
WEASEL2_baseline,SmallKitchenAppliances,375,375,720,3,56065,12.3652,8.0222,21.3925,644.87,0.781333,0.781333,-0.450474
WEASEL2_baseline,SmoothSubspace,150,150,15,3,14126,0.5575,0.1733,1.1553,65.23,0.973333,0.973333,-0.14595
WEASEL2_baseline,SonyAIBORobotSurface1,20,601,70,2,17641,0.3655,0.452,0.7522,11.39,0.941764,0.948499,-0.301207
WEASEL2_baseline,SonyAIBORobotSurface2,27,953,65,2,19148,0.351,0.6301,0.6611,16.41,0.951731,0.957248,-0.274811
WEASEL2_baseline,StarLightCurves,1000,8236,1024,3,55612,35.5163,249.8482,30.3361,1701.13,0.983244,0.965744,-0.065646
WEASEL2_baseline,Strawberry,613,370,235,2,53299,7.8414,2.2383,6.0494,999.19,0.981081,0.983607,-0.07971
WEASEL2_baseline,SwedishLeaf,500,625,128,15,57030,5.2182,1.9682,3.1492,872.21,0.976,0.976919,-0.043859
WEASEL2_baseline,Symbols,25,995,398,6,17305,0.4398,3.6522,3.6705,14.08,0.98392,0.984188,-0.070938
WEASEL2_baseline,SyntheticControl,300,300,60,6,45180,2.0879,0.5267,1.7555,414.9,0.996667,0.996667,-0.080614
WEASEL2_baseline,ToeSegmentation1,40,228,277,2,21184,0.4809,0.5188,2.2755,26.68,0.969298,0.969444,-0.253793
WEASEL2_baseline,ToeSegmentation2,36,130,343,2,20939,0.5155,0.366,2.8157,23.87,0.938462,0.930031,-0.149877
WEASEL2_baseline,Trace,100,100,275,4,20577,0.8012,0.4112,4.1123,63.61,1.0,1.0,-0.027501
WEASEL2_baseline,TwoLeadECG,23,1139,82,2,15236,0.3556,0.8027,0.7048,11.31,0.999122,0.999123,-0.216319
WEASEL2_baseline,TwoPatterns,1000,4000,128,4,57541,10.3833,12.3396,3.0849,1757.96,0.99725,0.99726,-0.06806
WEASEL2_baseline,UMD,36,144,150,3,20490,0.4504,0.2075,1.4408,23.22,0.986111,0.986111,-0.176084
WEASEL2_baseline,UWaveGestureLibraryAll,896,3582,945,8,54512,28.2548,91.9744,25.6768,1494.42,0.957566,0.957654,-0.077114
WEASEL2_baseline,UWaveGestureLibraryX,896,3582,315,8,53637,12.1563,27.3412,7.6329,1469.18,0.843384,0.841632,-0.156302
WEASEL2_baseline,UWaveGestureLibraryY,896,3582,315,8,54677,12.9303,27.6943,7.7315,1497.49,0.770519,0.771199,-0.197977
WEASEL2_baseline,UWaveGestureLibraryZ,896,3582,315,8,54445,12.9805,27.656,7.7208,1491.15,0.793691,0.795289,-0.189667
WEASEL2_baseline,Wafer,1000,6164,152,2,55944,10.4844,24.4084,3.9598,1709.22,0.999513,0.997744,-0.006033
WEASEL2_baseline,Wine,57,54,234,2,9227,0.4841,0.1171,2.1683,16.74,0.907407,0.907407,-0.130514
WEASEL2_baseline,WordSynonyms,267,638,270,25,55514,4.6378,9.2935,14.5667,454.65,0.73511,0.568106,-0.078976
WEASEL2_baseline,Worms,181,77,900,5,18678,6.8199,0.8172,10.6136,104.46,0.714286,0.632587,-0.327314
WEASEL2_baseline,WormsTwoClass,181,77,900,2,18678,2.3728,0.7324,9.5121,117.47,0.805195,0.806818,-0.540787
WEASEL2_baseline,Yoga,300,3000,426,2,56763,5.2799,28.9922,9.6641,522.43,0.926333,0.925311,-0.299404
