classifier,dataset,n_train,n_test,ts_length,n_classes,n_features,fit_time_s,predict_time_s,predict_time_per_sample_ms,peak_fit_mem_mb,accuracy,balanced_accuracy,train_cv_accuracy
WEASEL2_r25,Crop,7200,16800,46,24,11794,46.1015,5.7843,0.3443,2594.54,0.730298,0.730298,-0.074169
WEASEL2_r25,DistalPhalanxOutlineCorrect,600,276,80,2,10349,1.1759,0.1328,0.481,189.91,0.793478,0.777019,-0.412742
WEASEL2_r25,EOGHorizontalSignal,362,362,1250,12,12235,3.3553,2.1368,5.9028,291.17,0.588398,0.589294,-0.123786
WEASEL2_r25,ElectricDevices,8926,7711,96,7,11423,85.3042,3.9982,0.5185,3383.73,0.759694,0.652781,-0.126608
WEASEL2_r25,FiftyWords,450,455,270,50,10834,1.3002,0.5121,1.1255,149.61,0.837363,0.7351,-0.037757
WEASEL2_r25,Fish,175,175,463,7,8751,0.8532,0.3427,1.958,47.28,0.977143,0.977279,-0.099054
WEASEL2_r25,FordA,3601,1320,500,2,12754,18.3483,2.7332,2.0706,1402.27,0.959091,0.959242,-0.222213
WEASEL2_r25,GunPoint,50,150,150,2,8479,0.2677,0.115,0.7665,13.34,1.0,1.0,-0.074953
WEASEL2_r25,Haptics,155,308,1092,5,10352,1.4044,1.41,4.5781,80.19,0.480519,0.47973,-0.508737
WEASEL2_r25,HouseTwenty,40,119,2000,2,10265,0.7808,1.1038,9.2756,38.27,0.94958,0.94,-0.171114
WEASEL2_r25,InlineSkate,100,550,1882,7,10359,1.502,4.6011,8.3656,86.96,0.421818,0.427985,-0.455891
WEASEL2_r25,ItalyPowerDemand,67,1029,24,2,7054,0.5603,0.2288,0.2223,29.27,0.95724,0.957189,-0.190609
WEASEL2_r25,MiddlePhalanxTW,399,154,80,6,7893,0.9023,0.1032,0.6701,96.53,0.564935,0.393577,-0.305725
WEASEL2_r25,Phoneme,214,1896,1024,39,9165,1.6587,8.3711,4.4152,97.51,0.34019,0.180784,-0.094109
WEASEL2_r25,Rock,20,50,2844,4,9395,0.7053,0.6063,12.1259,21.65,0.92,0.934524,-0.36486
WEASEL2_r25,SonyAIBORobotSurface1,20,601,70,2,8500,0.1848,0.2048,0.3408,5.57,0.948419,0.95433,-0.299297
WEASEL2_r25,SwedishLeaf,500,625,128,15,12178,1.0508,0.3522,0.5635,186.37,0.9648,0.965974,-0.051778
WEASEL2_r25,UWaveGestureLibraryX,896,3582,315,8,10981,2.6595,5.2907,1.477,300.87,0.835567,0.833857,-0.169229
WEASEL2_r50,ACSF1,100,100,1460,10,17897,2.337,1.2754,12.7542,62.29,0.94,0.94,-0.187007
WEASEL2_r50,Adiac,390,391,176,37,17068,1.9576,0.6151,1.5732,204.12,0.828645,0.836502,-0.049344
WEASEL2_r50,ArrowHead,36,175,251,3,18966,0.5266,0.3977,2.2727,21.66,0.857143,0.864643,-0.316231
WEASEL2_r50,Coffee,28,28,286,2,16470,0.4946,0.0727,2.5949,14.9,1.0,1.0,-0.11435
WEASEL2_r50,Crop,7200,16800,46,24,22044,57.9821,10.8626,0.6466,4847.03,0.749583,0.749583,-0.070384
WEASEL2_r50,DistalPhalanxOutlineCorrect,600,276,80,2,19389,2.3624,0.2542,0.921,355.73,0.768116,0.749068,-0.406532
WEASEL2_r50,EOGHorizontalSignal,362,362,1250,12,23218,6.5419,4.4586,12.3165,365.75,0.604972,0.605973,-0.12051
WEASEL2_r50,ElectricDevices,8926,7711,96,7,21332,100.7615,7.7501,1.0051,5812.58,0.765789,0.661396,-0.119584
WEASEL2_r50,FiftyWords,450,455,270,50,20389,2.5683,0.951,2.0902,281.21,0.837363,0.741123,-0.036961
WEASEL2_r50,Fish,175,175,463,7,18496,1.6762,0.6662,3.807,99.78,0.988571,0.988946,-0.090762
