classifier,dataset,n_train,n_test,ts_length,n_classes,n_features,fit_time_s,predict_time_s,predict_time_per_sample_ms,peak_fit_mem_mb,accuracy,balanced_accuracy,train_cv_accuracy
WEASEL2_half,Ham,109,105,431,2,9544,0.6464,0.2253,2.1455,32.27,0.761905,0.761438,-0.334223
WEASEL2_half,HandOutlines,1000,370,2709,2,33368,49.7107,13.9296,37.6476,1097.32,0.945946,0.93306,-0.24319
WEASEL2_half,Haptics,155,308,1092,5,10352,1.3867,1.4329,4.6524,78.22,0.480519,0.47973,-0.508737
WEASEL2_half,Herring,64,64,512,2,8916,0.5252,0.166,2.5942,17.96,0.671875,0.6083,-0.925581
WEASEL2_half,HouseTwenty,40,119,2000,2,10265,0.9373,1.0154,8.5332,38.96,0.94958,0.94,-0.171114
WEASEL2_half,InlineSkate,100,550,1882,7,10359,1.4151,4.5045,8.1899,77.9,0.421818,0.427985,-0.455891
WEASEL2_half,InsectEPGRegularTrain,62,249,601,3,10258,0.5452,0.6786,2.7252,20.01,1.0,1.0,-0.01515
WEASEL2_half,InsectEPGSmallTrain,17,249,601,3,10096,0.3516,0.6757,2.7135,5.83,0.97992,0.981273,-0.087682
WEASEL2_half,InsectWingbeatSound,220,1980,256,11,9094,0.8215,2.2168,1.1196,61.55,0.641919,0.641919,-0.216957
WEASEL2_half,ItalyPowerDemand,67,1029,24,2,7054,0.2938,0.2485,0.2415,14.77,0.95724,0.957189,-0.190609
WEASEL2_half,LargeKitchenAppliances,375,375,720,3,33862,7.3701,4.5307,12.0817,389.32,0.792,0.792,-0.335534
WEASEL2_half,Lightning2,60,61,637,2,9158,0.5499,0.2202,3.6099,17.37,0.754098,0.748377,-0.745507
WEASEL2_half,Lightning7,70,73,319,7,9126,0.461,0.1526,2.0905,19.98,0.780822,0.801295,-0.275035
WEASEL2_half,Mallat,55,2345,1024,8,8880,0.6707,12.2852,5.2389,23.94,0.942431,0.943035,-0.092935
WEASEL2_half,Meat,60,60,448,3,6682,0.4727,0.1463,2.4382,12.75,0.933333,0.933333,-0.073052
WEASEL2_half,MedicalImages,381,760,99,10,20573,1.6852,0.7595,0.9994,239.99,0.769737,0.662886,-0.156379
WEASEL2_half,MiddlePhalanxOutlineAgeGroup,400,154,80,3,14816,1.6482,0.1528,0.9922,181.54,0.62987,0.481287,-0.36242
WEASEL2_half,MiddlePhalanxOutlineCorrect,600,291,80,2,16208,2.2475,0.2808,0.9651,297.46,0.828179,0.818771,-0.422161
WEASEL2_half,MiddlePhalanxTW,399,154,80,6,14937,1.6749,0.1559,1.0123,182.58,0.577922,0.401733,-0.305886
WEASEL2_half,MixedShapesRegularTrain,500,2425,1024,5,34629,10.3684,36.9743,15.2471,530.57,0.973196,0.971636,-0.063244
WEASEL2_half,MixedShapesSmallTrain,100,2425,1024,5,9432,1.0,11.337,4.675,38.24,0.955876,0.955031,-0.107021
