classifier,dataset,n_train,n_test,ts_length,n_classes,n_features,fit_time_s,predict_time_s,predict_time_per_sample_ms,peak_fit_mem_mb,accuracy,balanced_accuracy,train_cv_accuracy
WEASEL2_baseline,ACSF1,100,100,1460,10,17898,2.1735,1.2225,12.2254,90.57,0.93,0.93,-0.185615
WEASEL2_baseline,Adiac,390,391,176,37,46751,4.4664,1.8395,4.7045,558.83,0.84399,0.853155,-0.045617
WEASEL2_baseline,ArrowHead,36,175,251,3,18970,0.4151,0.3597,2.0553,21.63,0.857143,0.864643,-0.315629
WEASEL2_baseline,BME,30,150,128,3,19550,0.3269,0.1844,1.2292,18.59,0.98,0.98,-0.156256
WEASEL2_baseline,Beef,30,30,470,5,19741,0.4599,0.1276,4.2533,19.03,0.833333,0.833333,-0.405047
WEASEL2_baseline,BeetleFly,20,20,512,2,19390,0.4213,0.1098,5.488,12.82,0.95,0.95,-0.294579
WEASEL2_baseline,BirdChicken,20,20,512,2,19080,0.4065,0.1066,5.3285,12.63,0.9,0.9,-0.271445
WEASEL2_baseline,CBF,30,900,128,3,21141,0.3374,0.9487,1.0541,20.06,0.982222,0.982237,-0.197581
WEASEL2_baseline,Car,60,60,577,4,18038,1.0025,0.3405,5.6754,47.1,0.916667,0.915992,-0.191274
WEASEL2_baseline,Chinatown,20,343,24,2,7364,0.2533,0.0966,0.2816,5.19,0.976676,0.983936,-0.15314
WEASEL2_baseline,ChlorineConcentration,467,3840,166,3,54469,5.3323,19.0545,4.9621,778.47,0.766146,0.713065,-0.429147
WEASEL2_baseline,CinCECGTorso,40,1380,1639,4,20829,1.0317,18.7395,13.5793,29.6,0.962319,0.96217,-0.199027
WEASEL2_baseline,Coffee,28,28,286,2,16470,0.7606,0.1059,3.7823,14.86,1.0,1.0,-0.114697
WEASEL2_baseline,Computers,250,250,720,2,56523,8.4179,5.2581,21.0326,434.48,0.704,0.704,-0.537415
WEASEL2_baseline,CricketX,390,390,300,12,57568,6.9149,3.161,8.105,687.57,0.812821,0.819957,-0.118933
WEASEL2_baseline,CricketY,390,390,300,12,57547,6.3751,3.0003,7.6931,687.3,0.807692,0.809176,-0.121512
WEASEL2_baseline,CricketZ,390,390,300,12,57567,6.2157,3.0097,7.7172,687.53,0.807692,0.800486,-0.123816
