classifier,dataset,fit_time_s_baseline,fit_time_s_new,fit_time_s_delta,predict_time_s_baseline,predict_time_s_new,predict_time_s_delta,predict_time_per_sample_ms_baseline,predict_time_per_sample_ms_new,predict_time_per_sample_ms_delta,peak_fit_mem_mb_baseline,peak_fit_mem_mb_new,peak_fit_mem_mb_delta,accuracy_baseline,accuracy_new,accuracy_delta,balanced_accuracy_baseline,balanced_accuracy_new,balanced_accuracy_delta,train_cv_accuracy_baseline,train_cv_accuracy_new,train_cv_accuracy_delta,n_features_baseline,n_features_new,n_features_delta,dataset_type,train_size_bin,series_len_bin,n_classes_bin
WEASEL2_AdaptiveEnsemble,Phoneme,3.0284,5.2501,2.2217,16.1767,28.3207,12.144,8.532,14.9371,6.4051,127.38,177.46,50.08,0.347574,0.353376,0.005802,0.18485,0.190194,0.005344,-0.095373,-0.0967,-0.001327,19274.0,26837.0,7563.0,SOUND,medium (100-500),long (>800),many (10+)
WEASEL2_AdaptiveEnsemble,PigAirwayPressure,2.8282,5.0994,2.2712,3.5672,5.8604,2.2932,17.1502,28.1749,11.0247,92.2,104.92,12.72,0.9375,0.908654,-0.028846,0.9375,0.908654,-0.028846,-0.065054,-0.064479,0.000575,21059.0,29464.0,8405.0,HEMODYNAMICS,medium (100-500),long (>800),many (10+)
WEASEL2_AdaptiveEnsemble,PigArtPressure,2.6851,4.9526,2.2675,3.2067,5.294,2.0873,15.4169,25.4518,10.0349,101.12,107.2,6.08,0.985577,0.985577,0.0,0.985577,0.985577,0.0,-0.03186,-0.032185,-0.000325,20482.0,28677.0,8195.0,HEMODYNAMICS,medium (100-500),long (>800),many (10+)
WEASEL2_AdaptiveEnsemble,PigCVP,3.2298,4.5094,1.2796,3.1761,5.5268,2.3507,15.2697,26.5711,11.3014,102.76,110.26,7.5,0.966346,0.951923,-0.014423,0.966346,0.951923,-0.014423,-0.044822,-0.044797,2.5e-05,21324.0,29893.0,8569.0,HEMODYNAMICS,medium (100-500),long (>800),many (10+)
WEASEL2_AdaptiveEnsemble,Plane,0.7409,0.8019,0.061,0.2998,0.1578,-0.142,2.855,1.5031,-1.3519,60.95,61.0,0.05,1.0,1.0,0.0,1.0,1.0,0.0,-0.008858,-0.008798,6e-05,18802.0,18804.0,2.0,SENSOR,medium (100-500),short (<200),mid (3-9)
WEASEL2_AdaptiveEnsemble,PowerCons,0.9887,0.5556,-0.4331,0.4124,0.1383,-0.2741,2.2909,0.7685,-1.5224,112.53,54.84,-57.69,0.927778,0.933333,0.005555,0.927778,0.933333,0.005555,-0.279562,-0.269498,0.010064,20356.0,9907.0,-10449.0,DEVICE,medium (100-500),short (<200),binary (2)
WEASEL2_AdaptiveEnsemble,ProximalPhalanxOutlineAgeGroup,2.6673,1.6025,-1.0648,0.507,0.1859,-0.3211,2.4733,0.907,-1.5663,313.89,161.55,-152.34,0.858537,0.858537,0.0,0.798414,0.798414,0.0,-0.299196,-0.29583,0.003366,25621.0,13179.0,-12442.0,IMAGE,medium (100-500),short (<200),mid (3-9)
WEASEL2_AdaptiveEnsemble,ProximalPhalanxOutlineCorrect,4.0168,1.1428,-2.874,0.6531,0.1348,-0.5183,2.2442,0.4633,-1.7809,521.41,139.31,-382.1,0.90378,0.886598,-0.017182,0.865359,0.838185,-0.027174,-0.36707,-0.363572,0.003498,28413.0,7587.0,-20826.0,IMAGE,large (n>500),short (<200),binary (2)
WEASEL2_AdaptiveEnsemble,ProximalPhalanxTW,2.7473,1.6105,-1.1368,0.5094,0.1853,-0.3241,2.4848,0.904,-1.5808,312.13,160.73,-151.4,0.809756,0.814634,0.004878,0.485288,0.522193,0.036905,-0.164638,-0.167753,-0.003115,25475.0,13111.0,-12364.0,IMAGE,medium (100-500),short (<200),mid (3-9)
WEASEL2_AdaptiveEnsemble,RefrigerationDevices,11.4979,6.707,-4.7909,7.0381,4.0793,-2.9588,18.7684,10.878,-7.8904,638.28,389.16,-249.12,0.554667,0.554667,0.0,0.554667,0.554667,0.0,-0.337238,-0.353358,-0.01612,55489.0,33848.0,-21641.0,DEVICE,medium (100-500),medium (200-800),mid (3-9)
WEASEL2_AdaptiveEnsemble,Rock,1.0783,2.1516,1.0733,1.0809,1.8249,0.744,21.6183,36.4983,14.88,25.12,24.75,-0.37,0.9,0.88,-0.02,0.922619,0.904762,-0.017857,-0.363254,-0.36711,-0.003856,19712.0,27440.0,7728.0,SPECTRO,small (n<100),long (>800),mid (3-9)
WEASEL2_AdaptiveEnsemble,ScreenType,11.9217,7.0389,-4.8828,7.9262,4.4472,-3.479,21.1365,11.8591,-9.2774,647.04,389.06,-257.98,0.453333,0.469333,0.016,0.453333,0.469333,0.016,-0.643247,-0.694629,-0.051382,56255.0,33840.0,-22415.0,DEVICE,medium (100-500),medium (200-800),mid (3-9)
WEASEL2_AdaptiveEnsemble,SemgHandGenderCh2,18.0292,10.8641,-7.1651,26.6994,16.0694,-10.63,44.499,26.7824,-17.7166,532.1,406.49,-125.61,0.938333,0.93,-0.008333,0.933883,0.926374,-0.007509,-0.260212,-0.281504,-0.021292,57568.0,36574.0,-20994.0,SPECTRO,medium (100-500),long (>800),binary (2)
WEASEL2_AdaptiveEnsemble,SemgHandMovementCh2,26.8339,15.8528,-10.9811,19.9393,11.9348,-8.0045,44.3096,26.5218,-17.7878,796.38,552.24,-244.14,0.633333,0.628889,-0.004444,0.633333,0.628889,-0.004444,-0.323644,-0.383859,-0.060215,57568.0,36574.0,-20994.0,SPECTRO,medium (100-500),long (>800),mid (3-9)
WEASEL2_AdaptiveEnsemble,SemgHandSubjectCh2,26.9964,15.9485,-11.0479,20.4618,11.8729,-8.5889,45.4708,26.3843,-19.0865,795.65,667.04,-128.61,0.895556,0.888889,-0.006667,0.895556,0.888889,-0.006667,-0.175348,-0.193181,-0.017833,57568.0,36574.0,-20994.0,SPECTRO,medium (100-500),long (>800),mid (3-9)
WEASEL2_AdaptiveEnsemble,ShapeletSim,0.4783,0.3053,-0.173,0.8064,0.4386,-0.3678,4.4801,2.4366,-2.0435,13.46,6.7,-6.76,1.0,1.0,0.0,1.0,1.0,0.0,-0.521267,-0.563065,-0.041798,20444.0,10075.0,-10369.0,SIMULATED,small (n<100),medium (200-800),binary (2)
WEASEL2_AdaptiveEnsemble,ShapesAll,13.0355,5.052,-7.9835,7.1095,2.6762,-4.4333,11.8492,4.4603,-7.3889,1039.17,422.32,-616.85,0.936667,0.94,0.003333,0.936667,0.94,0.003333,-0.017718,-0.019542,-0.001824,56571.0,22976.0,-33595.0,IMAGE,large (n>500),medium (200-800),many (10+)
WEASEL2_AdaptiveEnsemble,SmallKitchenAppliances,12.3652,7.4551,-4.9101,8.0222,4.6784,-3.3438,21.3925,12.4756,-8.9169,644.87,389.19,-255.68,0.781333,0.789333,0.008,0.781333,0.789333,0.008,-0.450474,-0.39412,0.056354,56065.0,33851.0,-22214.0,DEVICE,medium (100-500),medium (200-800),mid (3-9)
WEASEL2_AdaptiveEnsemble,SmoothSubspace,0.5575,0.7132,0.1557,0.1733,0.0686,-0.1047,1.1553,0.4573,-0.698,65.23,65.27,0.04,0.973333,0.973333,0.0,0.973333,0.973333,0.0,-0.14595,-0.143819,0.002131,14126.0,14127.0,1.0,SIMULATED,medium (100-500),short (<200),mid (3-9)
WEASEL2_AdaptiveEnsemble,SonyAIBORobotSurface1,0.3655,0.2121,-0.1534,0.452,0.2314,-0.2206,0.7522,0.385,-0.3672,11.39,5.56,-5.83,0.941764,0.948419,0.006655,0.948499,0.95433,0.005831,-0.301207,-0.299297,0.00191,17641.0,8500.0,-9141.0,SENSOR,small (n<100),short (<200),binary (2)
WEASEL2_AdaptiveEnsemble,SonyAIBORobotSurface2,0.351,0.2233,-0.1277,0.6301,0.3386,-0.2915,0.6611,0.3553,-0.3058,16.41,8.01,-8.4,0.951731,0.944386,-0.007345,0.957248,0.947659,-0.009589,-0.274811,-0.297008,-0.022197,19148.0,9257.0,-9891.0,SENSOR,small (n<100),short (<200),binary (2)
WEASEL2_AdaptiveEnsemble,StarLightCurves,35.5163,21.2306,-14.2857,249.8482,147.5527,-102.2955,30.3361,17.9156,-12.4205,1701.13,1009.71,-691.42,0.983244,0.981666,-0.001578,0.965744,0.963341,-0.002403,-0.065646,-0.066978,-0.001332,55612.0,33015.0,-22597.0,SENSOR,large (n>500),long (>800),mid (3-9)
WEASEL2_AdaptiveEnsemble,Strawberry,7.8414,1.6736,-6.1678,2.2383,0.4188,-1.8195,6.0494,1.1318,-4.9176,999.19,197.52,-801.67,0.981081,0.978378,-0.002703,0.983607,0.981506,-0.002101,-0.07971,-0.090236,-0.010526,53299.0,10533.0,-42766.0,SPECTRO,large (n>500),medium (200-800),binary (2)
WEASEL2_AdaptiveEnsemble,SwedishLeaf,5.2182,2.2383,-2.9799,1.9682,0.7357,-1.2325,3.1492,1.1771,-1.9721,872.21,353.46,-518.75,0.976,0.9712,-0.0048,0.976919,0.971783,-0.005136,-0.043859,-0.047761,-0.003902,57030.0,23107.0,-33923.0,IMAGE,medium (100-500),short (<200),many (10+)
WEASEL2_AdaptiveEnsemble,Symbols,0.4398,0.6173,0.1775,3.6522,3.481,-0.1712,3.6705,3.4985,-0.172,14.08,14.12,0.04,0.98392,0.98392,0.0,0.984188,0.984188,0.0,-0.070938,-0.070837,0.000101,17305.0,17305.0,0.0,IMAGE,small (n<100),medium (200-800),mid (3-9)
WEASEL2_AdaptiveEnsemble,SyntheticControl,2.0879,1.2957,-0.7922,0.5267,0.2472,-0.2795,1.7555,0.824,-0.9315,414.9,204.11,-210.79,0.996667,0.993333,-0.003334,0.996667,0.993333,-0.003334,-0.080614,-0.081844,-0.00123,45180.0,22214.0,-22966.0,SIMULATED,medium (100-500),short (<200),mid (3-9)
WEASEL2_AdaptiveEnsemble,ToeSegmentation1,0.4809,0.3279,-0.153,0.5188,0.3275,-0.1913,2.2755,1.4365,-0.839,26.68,13.17,-13.51,0.969298,0.973684,0.004386,0.969444,0.973611,0.004167,-0.253793,-0.238412,0.015381,21184.0,10406.0,-10778.0,MOTION,small (n<100),medium (200-800),binary (2)
WEASEL2_AdaptiveEnsemble,ToeSegmentation2,0.5155,0.327,-0.1885,0.366,0.2311,-0.1349,2.8157,1.7777,-1.038,23.87,11.74,-12.13,0.938462,0.930769,-0.007693,0.930031,0.941431,0.0114,-0.149877,-0.136622,0.013255,20939.0,10235.0,-10704.0,MOTION,small (n<100),medium (200-800),binary (2)
WEASEL2_AdaptiveEnsemble,Trace,0.8012,1.0359,0.2347,0.4112,0.3138,-0.0974,4.1123,3.1382,-0.9741,63.61,63.66,0.05,1.0,1.0,0.0,1.0,1.0,0.0,-0.027501,-0.027507,-6e-06,20577.0,20577.0,0.0,SENSOR,small (n<100),medium (200-800),mid (3-9)
WEASEL2_AdaptiveEnsemble,TwoLeadECG,0.3556,0.2227,-0.1329,0.8027,0.5328,-0.2699,0.7048,0.4678,-0.237,11.31,5.38,-5.93,0.999122,1.0,0.000878,0.999123,1.0,0.000877,-0.216319,-0.202203,0.014116,15236.0,7136.0,-8100.0,ECG,small (n<100),short (<200),binary (2)
WEASEL2_AdaptiveEnsemble,TwoPatterns,10.3833,4.0682,-6.3151,12.3396,4.4687,-7.8709,3.0849,1.1172,-1.9677,1757.96,736.43,-1021.53,0.99725,0.996,-0.00125,0.99726,0.996006,-0.001254,-0.06806,-0.077838,-0.009778,57541.0,24104.0,-33437.0,SIMULATED,large (n>500),short (<200),mid (3-9)
WEASEL2_AdaptiveEnsemble,UMD,0.4504,0.5595,0.1091,0.2075,0.2442,0.0367,1.4408,1.6958,0.255,23.22,23.26,0.04,0.986111,0.986111,0.0,0.986111,0.986111,0.0,-0.176084,-0.175944,0.00014,20490.0,20490.0,0.0,SIMULATED,small (n<100),short (<200),mid (3-9)
WEASEL2_AdaptiveEnsemble,UWaveGestureLibraryAll,28.2548,16.8676,-11.3872,91.9744,53.9386,-38.0358,25.6768,15.0582,-10.6186,1494.42,918.22,-576.2,0.957566,0.958961,0.001395,0.957654,0.959039,0.001385,-0.077114,-0.079653,-0.002539,54512.0,33502.0,-21010.0,MOTION,large (n>500),long (>800),mid (3-9)
WEASEL2_AdaptiveEnsemble,UWaveGestureLibraryX,12.1563,5.2874,-6.8689,27.3412,10.376,-16.9652,7.6329,2.8967,-4.7362,1469.18,578.98,-890.2,0.843384,0.835567,-0.007817,0.841632,0.833865,-0.007767,-0.156302,-0.166071,-0.009769,53637.0,21137.0,-32500.0,MOTION,large (n>500),medium (200-800),mid (3-9)
WEASEL2_AdaptiveEnsemble,UWaveGestureLibraryY,12.9303,5.3712,-7.5591,27.6943,10.6334,-17.0609,7.7315,2.9686,-4.7629,1497.49,600.14,-897.35,0.770519,0.768565,-0.001954,0.771199,0.76914,-0.002059,-0.197977,-0.207918,-0.009941,54677.0,21911.0,-32766.0,MOTION,large (n>500),medium (200-800),mid (3-9)
WEASEL2_AdaptiveEnsemble,UWaveGestureLibraryZ,12.9805,5.2622,-7.7183,27.656,10.2092,-17.4468,7.7208,2.8501,-4.8707,1491.15,595.85,-895.3,0.793691,0.785036,-0.008655,0.795289,0.786806,-0.008483,-0.189667,-0.194902,-0.005235,54445.0,21754.0,-32691.0,MOTION,large (n>500),medium (200-800),mid (3-9)
WEASEL2_AdaptiveEnsemble,Wafer,10.4844,2.1755,-8.3089,24.4084,4.4692,-19.9392,3.9598,0.725,-3.2348,1709.22,359.41,-1349.81,0.999513,0.998378,-0.001135,0.997744,0.992481,-0.005263,-0.006033,-0.008478,-0.002445,55944.0,11762.0,-44182.0,SENSOR,large (n>500),short (<200),binary (2)
WEASEL2_AdaptiveEnsemble,Wine,0.4841,0.3655,-0.1186,0.1171,0.0715,-0.0456,2.1683,1.3248,-0.8435,16.74,8.09,-8.65,0.907407,0.944444,0.037037,0.907407,0.944444,0.037037,-0.130514,-0.112934,0.01758,9227.0,4417.0,-4810.0,SPECTRO,small (n<100),medium (200-800),binary (2)
WEASEL2_AdaptiveEnsemble,WordSynonyms,4.6378,1.8151,-2.8227,9.2935,1.326,-7.9675,14.5667,2.0783,-12.4884,454.65,177.07,-277.58,0.73511,0.725705,-0.009405,0.568106,0.565972,-0.002134,-0.078976,-0.081134,-0.002158,55514.0,21612.0,-33902.0,IMAGE,medium (100-500),medium (200-800),many (10+)
WEASEL2_AdaptiveEnsemble,Worms,6.8199,3.9549,-2.865,0.8172,1.0001,0.1829,10.6136,12.9879,2.3743,104.46,146.4,41.94,0.714286,0.753247,0.038961,0.632587,0.669709,0.037122,-0.327314,-0.32477,0.002544,18678.0,26156.0,7478.0,MOTION,medium (100-500),long (>800),mid (3-9)
WEASEL2_AdaptiveEnsemble,WormsTwoClass,2.3728,3.9373,1.5645,0.7324,1.0009,0.2685,9.5121,12.9982,3.4861,117.47,146.39,28.92,0.805195,0.779221,-0.025974,0.806818,0.780303,-0.026515,-0.540787,-0.538296,0.002491,18678.0,26156.0,7478.0,MOTION,medium (100-500),long (>800),binary (2)
WEASEL2_AdaptiveEnsemble,Yoga,5.2799,1.2041,-4.0758,28.9922,5.7637,-23.2285,9.6641,1.9212,-7.7429,522.43,110.77,-411.66,0.926333,0.921,-0.005333,0.925311,0.920142,-0.005169,-0.299404,-0.341644,-0.04224,56763.0,12039.0,-44724.0,IMAGE,medium (100-500),medium (200-800),binary (2)
