classifier,dataset,fit_time_s_baseline,fit_time_s_new,fit_time_s_delta,predict_time_s_baseline,predict_time_s_new,predict_time_s_delta,predict_time_per_sample_ms_baseline,predict_time_per_sample_ms_new,predict_time_per_sample_ms_delta,peak_fit_mem_mb_baseline,peak_fit_mem_mb_new,peak_fit_mem_mb_delta,accuracy_baseline,accuracy_new,accuracy_delta,balanced_accuracy_baseline,balanced_accuracy_new,balanced_accuracy_delta,train_cv_accuracy_baseline,train_cv_accuracy_new,train_cv_accuracy_delta,dataset_type,train_size_bin,series_len_bin,n_classes_bin,n_features_baseline,n_features_new
WEASEL2_half,RefrigerationDevices,11.4979,6.811,-4.6869,7.0381,4.1597,-2.8784,18.7684,11.0926,-7.6758,638.28,389.16,-249.12,0.554667,0.554667,0.0,0.554667,0.554667,0.0,-0.337238,-0.353358,-0.01612,DEVICE,medium (100-500),medium (200-800),mid (3-9),25475,33848
WEASEL2_half,Rock,1.0783,0.7414,-0.3369,1.0809,0.6199,-0.461,21.6183,12.3975,-9.2208,25.12,21.65,-3.47,0.9,0.92,0.02,0.922619,0.934524,0.011905,-0.363254,-0.36486,-0.001606,SPECTRO,small (n<100),long (>800),mid (3-9),55489,9395
WEASEL2_half,ScreenType,11.9217,7.1477,-4.774,7.9262,4.4998,-3.4264,21.1365,11.9995,-9.137,647.04,389.06,-257.98,0.453333,0.469333,0.016,0.453333,0.469333,0.016,-0.643247,-0.694629,-0.051382,DEVICE,medium (100-500),medium (200-800),mid (3-9),19712,33840
WEASEL2_half,SemgHandGenderCh2,18.0292,10.6651,-7.3641,26.6994,15.7265,-10.9729,44.499,26.2108,-18.2882,532.1,382.57,-149.53,0.938333,0.93,-0.008333,0.933883,0.926374,-0.007509,-0.260212,-0.281504,-0.021292,SPECTRO,medium (100-500),long (>800),binary (2),56255,36574
WEASEL2_half,SemgHandMovementCh2,26.8339,15.5204,-11.3135,19.9393,14.1717,-5.7676,44.3096,31.4928,-12.8168,796.38,805.49,9.11,0.633333,0.628889,-0.004444,0.633333,0.628889,-0.004444,-0.323644,-0.383859,-0.060215,SPECTRO,medium (100-500),long (>800),mid (3-9),57568,36574
WEASEL2_half,SemgHandSubjectCh2,26.9964,16.1649,-10.8315,20.4618,12.2745,-8.1873,45.4708,27.2767,-18.1941,795.65,564.86,-230.79,0.895556,0.888889,-0.006667,0.895556,0.888889,-0.006667,-0.175348,-0.193181,-0.017833,SPECTRO,medium (100-500),long (>800),mid (3-9),57568,36574
WEASEL2_half,ShapeletSim,0.4783,0.3115,-0.1668,0.8064,0.4484,-0.358,4.4801,2.4911,-1.989,13.46,6.7,-6.76,1.0,1.0,0.0,1.0,1.0,0.0,-0.521267,-0.563065,-0.041798,SIMULATED,small (n<100),medium (200-800),binary (2),57568,10075
WEASEL2_half,ShapesAll,13.0355,7.6534,-5.3821,7.1095,4.0796,-3.0299,11.8492,6.7993,-5.0499,1039.17,643.42,-395.75,0.936667,0.938333,0.001666,0.936667,0.938333,0.001666,-0.017718,-0.018648,-0.00093,IMAGE,large (n>500),medium (200-800),many (10+),21094,35024
WEASEL2_half,SmallKitchenAppliances,12.3652,7.5497,-4.8155,8.0222,4.734,-3.2882,21.3925,12.624,-8.7685,644.87,389.19,-255.68,0.781333,0.789333,0.008,0.781333,0.789333,0.008,-0.450474,-0.39412,0.056354,DEVICE,medium (100-500),medium (200-800),mid (3-9),20444,33851
WEASEL2_half,SmoothSubspace,0.5575,0.3765,-0.181,0.1733,0.0451,-0.1282,1.1553,0.3006,-0.8547,65.23,30.03,-35.2,0.973333,0.966667,-0.006666,0.973333,0.966667,-0.006666,-0.14595,-0.149328,-0.003378,SIMULATED,medium (100-500),short (<200),mid (3-9),56571,6485
WEASEL2_half,SonyAIBORobotSurface1,0.3655,0.2203,-0.1452,0.452,0.2431,-0.2089,0.7522,0.4045,-0.3477,11.39,5.56,-5.83,0.941764,0.948419,0.006655,0.948499,0.95433,0.005831,-0.301207,-0.299297,0.00191,SENSOR,small (n<100),short (<200),binary (2),56065,8500
WEASEL2_half,SonyAIBORobotSurface2,0.351,0.2294,-0.1216,0.6301,0.338,-0.2921,0.6611,0.3546,-0.3065,16.41,8.01,-8.4,0.951731,0.944386,-0.007345,0.957248,0.947659,-0.009589,-0.274811,-0.297008,-0.022197,SENSOR,small (n<100),short (<200),binary (2),14126,9257
WEASEL2_half,StarLightCurves,35.5163,21.0709,-14.4454,249.8482,143.8219,-106.0263,30.3361,17.4626,-12.8735,1701.13,1009.71,-691.42,0.983244,0.981666,-0.001578,0.965744,0.963341,-0.002403,-0.065646,-0.066978,-0.001332,SENSOR,large (n>500),long (>800),mid (3-9),17641,33015
WEASEL2_half,Strawberry,7.8414,4.9969,-2.8445,2.2383,1.284,-0.9543,6.0494,3.4702,-2.5792,999.19,553.62,-445.57,0.981081,0.981081,0.0,0.983607,0.983607,0.0,-0.07971,-0.083447,-0.003737,SPECTRO,large (n>500),medium (200-800),binary (2),19148,29530
WEASEL2_half,SwedishLeaf,5.2182,3.3625,-1.8557,1.9682,1.1223,-0.8459,3.1492,1.7957,-1.3535,872.21,537.15,-335.06,0.976,0.976,0.0,0.976919,0.976839,-8e-05,-0.043859,-0.045596,-0.001737,IMAGE,medium (100-500),short (<200),many (10+),55612,35123
WEASEL2_half,Symbols,0.4398,0.3318,-0.108,3.6522,1.8114,-1.8408,3.6705,1.8205,-1.85,14.08,6.65,-7.43,0.98392,0.980905,-0.003015,0.984188,0.981379,-0.002809,-0.070938,-0.067036,0.003902,IMAGE,small (n<100),medium (200-800),mid (3-9),53299,8059
WEASEL2_half,SyntheticControl,2.0879,1.3159,-0.772,0.5267,0.2332,-0.2935,1.7555,0.7775,-0.978,414.9,204.11,-210.79,0.996667,0.993333,-0.003334,0.996667,0.993333,-0.003334,-0.080614,-0.081844,-0.00123,SIMULATED,medium (100-500),short (<200),mid (3-9),57030,22214
WEASEL2_half,ToeSegmentation1,0.4809,0.368,-0.1129,0.5188,0.3193,-0.1995,2.2755,1.4003,-0.8752,26.68,13.17,-13.51,0.969298,0.973684,0.004386,0.969444,0.973611,0.004167,-0.253793,-0.238412,0.015381,MOTION,small (n<100),medium (200-800),binary (2),17305,10406
WEASEL2_half,ToeSegmentation2,0.5155,0.3506,-0.1649,0.366,0.2405,-0.1255,2.8157,1.85,-0.9657,23.87,11.74,-12.13,0.938462,0.930769,-0.007693,0.930031,0.941431,0.0114,-0.149877,-0.136622,0.013255,MOTION,small (n<100),medium (200-800),binary (2),45180,10235
WEASEL2_half,Trace,0.8012,0.5367,-0.2645,0.4112,0.1678,-0.2434,4.1123,1.6784,-2.4339,63.61,30.67,-32.94,1.0,1.0,0.0,1.0,1.0,0.0,-0.027501,-0.030098,-0.002597,SENSOR,small (n<100),medium (200-800),mid (3-9),21184,9895
WEASEL2_half,TwoLeadECG,0.3556,0.3022,-0.0534,0.8027,0.5197,-0.283,0.7048,0.4563,-0.2485,11.31,5.38,-5.93,0.999122,1.0,0.000878,0.999123,1.0,0.000877,-0.216319,-0.202203,0.014116,ECG,small (n<100),short (<200),binary (2),20939,7136
WEASEL2_half,TwoPatterns,10.3833,6.0829,-4.3004,12.3396,6.9322,-5.4074,3.0849,1.733,-1.3519,1757.96,1113.97,-643.99,0.99725,0.9965,-0.00075,0.99726,0.996518,-0.000742,-0.06806,-0.075041,-0.006981,SIMULATED,large (n>500),short (<200),mid (3-9),20577,36464
WEASEL2_half,UMD,0.4504,0.2905,-0.1599,0.2075,0.1732,-0.0343,1.4408,1.203,-0.2378,23.22,11.32,-11.9,0.986111,0.986111,0.0,0.986111,0.986111,0.0,-0.176084,-0.169128,0.006956,SIMULATED,small (n<100),short (<200),mid (3-9),15236,9927
WEASEL2_half,UWaveGestureLibraryAll,28.2548,17.1655,-11.0893,91.9744,53.0219,-38.9525,25.6768,14.8023,-10.8745,1494.42,918.22,-576.2,0.957566,0.958961,0.001395,0.957654,0.959039,0.001385,-0.077114,-0.079653,-0.002539,MOTION,large (n>500),long (>800),mid (3-9),57541,33502
WEASEL2_half,UWaveGestureLibraryX,12.1563,8.1191,-4.0372,27.3412,15.8985,-11.4427,7.6329,4.4384,-3.1945,1469.18,882.76,-586.42,0.843384,0.845338,0.001954,0.841632,0.843718,0.002086,-0.156302,-0.161944,-0.005642,MOTION,large (n>500),medium (200-800),mid (3-9),20490,32232
WEASEL2_half,UWaveGestureLibraryY,12.9303,7.906,-5.0243,27.6943,15.7035,-11.9908,7.7315,4.384,-3.3475,1497.49,915.39,-582.1,0.770519,0.766332,-0.004187,0.771199,0.767024,-0.004175,-0.197977,-0.203927,-0.00595,MOTION,large (n>500),medium (200-800),mid (3-9),54512,33425
WEASEL2_half,UWaveGestureLibraryZ,12.9805,8.077,-4.9035,27.656,15.9272,-11.7288,7.7208,4.4465,-3.2743,1491.15,905.22,-585.93,0.793691,0.786711,-0.00698,0.795289,0.78837,-0.006919,-0.189667,-0.191392,-0.001725,MOTION,large (n>500),medium (200-800),mid (3-9),53637,33053
WEASEL2_half,Wafer,10.4844,6.5196,-3.9648,24.4084,14.0595,-10.3489,3.9598,2.2809,-1.6789,1709.22,1032.67,-676.55,0.999513,0.999513,0.0,0.997744,0.997744,0.0,-0.006033,-0.006534,-0.000501,SENSOR,large (n>500),short (<200),binary (2),54677,33801
WEASEL2_half,Wine,0.4841,0.3772,-0.1069,0.1171,0.0857,-0.0314,2.1683,1.5871,-0.5812,16.74,8.09,-8.65,0.907407,0.944444,0.037037,0.907407,0.944444,0.037037,-0.130514,-0.112934,0.01758,SPECTRO,small (n<100),medium (200-800),binary (2),54445,4417
WEASEL2_half,WordSynonyms,4.6378,2.792,-1.8458,9.2935,2.0534,-7.2401,14.5667,3.2184,-11.3483,454.65,270.88,-183.77,0.73511,0.730408,-0.004702,0.568106,0.568304,0.000198,-0.078976,-0.081647,-0.002671,IMAGE,medium (100-500),medium (200-800),many (10+),55944,33077
WEASEL2_half,Worms,6.8199,1.3606,-5.4593,0.8172,0.3448,-0.4724,10.6136,4.4785,-6.1351,104.46,104.37,-0.09,0.714286,0.714286,0.0,0.632587,0.632587,0.0,-0.327314,-0.3348,-0.007486,MOTION,medium (100-500),long (>800),mid (3-9),9227,8830
WEASEL2_half,WormsTwoClass,2.3728,1.3883,-0.9845,0.7324,0.3486,-0.3838,9.5121,4.5271,-4.985,117.47,66.2,-51.27,0.805195,0.831169,0.025974,0.806818,0.833333,0.026515,-0.540787,-0.552192,-0.011405,MOTION,medium (100-500),long (>800),binary (2),55514,8830
WEASEL2_half,Yoga,5.2799,3.5422,-1.7377,28.9922,16.9143,-12.0779,9.6641,5.6381,-4.026,522.43,319.88,-202.55,0.926333,0.925667,-0.000666,0.925311,0.924832,-0.000479,-0.299404,-0.319936,-0.020532,IMAGE,medium (100-500),medium (200-800),binary (2),18678,34781
