classifier,dataset,fit_time_s_baseline,fit_time_s_new,fit_time_s_delta,predict_time_s_baseline,predict_time_s_new,predict_time_s_delta,predict_time_per_sample_ms_baseline,predict_time_per_sample_ms_new,predict_time_per_sample_ms_delta,peak_fit_mem_mb_baseline,peak_fit_mem_mb_new,peak_fit_mem_mb_delta,accuracy_baseline,accuracy_new,accuracy_delta,balanced_accuracy_baseline,balanced_accuracy_new,balanced_accuracy_delta,train_cv_accuracy_baseline,train_cv_accuracy_new,train_cv_accuracy_delta,dataset_type,train_size_bin,series_len_bin,n_classes_bin,n_features_baseline,n_features_new
WEASEL2_half,CricketZ,6.2157,3.8829,-2.3328,3.0097,1.661,-1.3487,7.7172,4.2589,-3.4583,687.53,434.43,-253.1,0.807692,0.807692,0.0,0.800486,0.80067,0.000184,-0.123816,-0.131186,-0.00737,MOTION,medium (100-500),medium (200-800),many (10+),57567,36384
WEASEL2_half,Crop,76.6869,56.0121,-20.6748,18.2702,10.0503,-8.2199,1.0875,0.5982,-0.4893,9836.25,4847.04,-4989.21,0.760655,0.749583,-0.011072,0.760655,0.749583,-0.011072,-0.067833,-0.070384,-0.002551,IMAGE,large (n>500),short (<200),many (10+),44748,22044
WEASEL2_half,DiatomSizeReduction,0.3478,0.283,-0.0648,0.7883,0.4897,-0.2986,2.576,1.6002,-0.9758,6.68,3.16,-3.52,0.96732,0.96732,0.0,0.929159,0.929159,0.0,-0.193839,-0.195636,-0.001797,IMAGE,small (n<100),medium (200-800),mid (3-9),12042,5518
WEASEL2_half,DistalPhalanxOutlineAgeGroup,2.5266,1.6828,-0.8438,0.3702,0.1557,-0.2145,2.6635,1.1202,-1.5433,390.22,201.59,-188.63,0.769784,0.776978,0.007194,0.799623,0.802666,0.003043,-0.294586,-0.296811,-0.002225,IMAGE,medium (100-500),short (<200),mid (3-9),31869,16457
WEASEL2_half,DistalPhalanxOutlineCorrect,3.8549,2.3273,-1.5276,0.5825,0.2743,-0.3082,2.1103,0.9939,-1.1164,703.61,355.73,-347.88,0.775362,0.768116,-0.007246,0.75528,0.749068,-0.006212,-0.403738,-0.406532,-0.002794,IMAGE,large (n>500),short (<200),binary (2),38359,19389
WEASEL2_half,DistalPhalanxTW,2.482,1.6618,-0.8202,0.3683,0.1396,-0.2287,2.6495,1.0044,-1.6451,394.29,202.74,-191.55,0.690647,0.705036,0.014389,0.51492,0.519456,0.004536,-0.182256,-0.183993,-0.001737,IMAGE,medium (100-500),short (<200),mid (3-9),32201,16550
WEASEL2_half,ECG200,0.5138,0.398,-0.1158,0.233,0.0759,-0.1571,2.33,0.7592,-1.5708,62.78,30.64,-32.14,0.89,0.89,0.0,0.871528,0.871528,0.0,-0.342512,-0.34776,-0.005248,ECG,small (n<100),short (<200),binary (2),20352,9911
WEASEL2_half,ECG5000,5.3537,3.2856,-2.0681,13.4545,7.3177,-6.1368,2.9899,1.6262,-1.3637,888.45,517.7,-370.75,0.948222,0.947111,-0.001111,0.545705,0.541008,-0.004697,-0.065255,-0.067575,-0.00232,ECG,medium (100-500),short (<200),mid (3-9),57235,33853
WEASEL2_half,ECGFiveDays,0.3593,0.229,-0.1303,0.9753,0.5509,-0.4244,1.1328,0.6399,-0.4929,13.96,6.69,-7.27,0.970964,0.976771,0.005807,0.971064,0.976838,0.005774,-0.28154,-0.293609,-0.012069,ECG,small (n<100),short (<200),binary (2),18654,8952
WEASEL2_half,EOGHorizontalSignal,16.2202,9.9954,-6.2248,11.2615,6.5826,-4.6789,31.109,18.184,-12.925,631.6,394.35,-237.25,0.61326,0.604972,-0.008288,0.613666,0.605877,-0.007789,-0.109162,-0.115999,-0.006837,EOG,medium (100-500),long (>800),many (10+),56744,35473
WEASEL2_half,EOGVerticalSignal,16.4401,10.1061,-6.334,11.7311,6.7389,-4.9922,32.4064,18.6159,-13.7905,632.64,398.39,-234.25,0.475138,0.461326,-0.013812,0.476857,0.463141,-0.013716,-0.13153,-0.134987,-0.003457,EOG,medium (100-500),long (>800),many (10+),56854,35838
WEASEL2_half,Earthquakes,8.0146,4.68,-3.3346,2.4158,1.1914,-1.2244,17.38,8.571,-8.809,545.59,330.67,-214.92,0.748201,0.748201,0.0,0.5,0.5,0.0,-0.526539,-0.582689,-0.05615,SENSOR,medium (100-500),medium (200-800),binary (2),55236,33493
WEASEL2_half,ElectricDevices,127.9803,100.3017,-27.6786,14.0645,7.5017,-6.5628,1.824,0.9729,-0.8511,11924.99,5812.58,-6112.41,0.772014,0.765789,-0.006225,0.670491,0.661396,-0.009095,-0.113122,-0.119584,-0.006462,DEVICE,large (n>500),short (<200),mid (3-9),43721,21332
WEASEL2_half,EthanolLevel,29.8308,17.3583,-12.4725,22.2407,12.8853,-9.3554,44.4814,25.7705,-18.7109,821.27,695.96,-125.31,0.588,0.574,-0.014,0.588614,0.574533,-0.014081,-0.414381,-0.446032,-0.031651,SPECTRO,large (n>500),long (>800),mid (3-9),50863,31175
WEASEL2_half,FaceAll,5.8638,3.5758,-2.288,4.7385,2.6084,-2.1301,2.8038,1.5434,-1.2604,982.94,622.11,-360.83,0.784024,0.785207,0.001183,0.892471,0.893265,0.000794,-0.034663,-0.037151,-0.002488,IMAGE,large (n>500),short (<200),many (10+),57394,36330
WEASEL2_half,FaceFour,0.4951,0.3246,-0.1705,0.2944,0.1729,-0.1215,3.3458,1.9643,-1.3815,16.27,7.96,-8.31,0.943182,0.954545,0.011363,0.948427,0.958042,0.009615,-0.272854,-0.287646,-0.014792,IMAGE,small (n<100),medium (200-800),mid (3-9),21021,10183
